indicativo,fecha,Temperatura Maxima,Temperatura Minima,Cantidad dias de lluvia,w_racha,hr,p_mes
8414A,2010-01-01,19.1,-1.9,8,31.4,62,55.2
8414A,2010-02-01,21.2,-2.7,14,24.2,58,23.5
8414A,2010-03-01,24.9,-1.5,9,20.0,58,46.6
8414A,2010-04-01,26.0,4.3,10,12.8,60,24.2
8414A,2010-05-01,35.4,6.6,8,21.7,47,62.2
8414A,2010-06-01,31.5,11.3,12,20.0,51,24.5
8414A,2010-07-01,32.2,17.9,2,11.7,53,4.5
8414A,2010-08-01,42.8,17.7,6,23.6,53,25.0
8414A,2010-09-01,32.5,11.8,6,19.7,56,30.0
8414A,2010-10-01,29.3,4.1,6,18.9,57,60.1
8414A,2010-11-01,25.1,1.1,7,22.8,53,19.8
8414A,2010-12-01,24.0,-4.3,14,22.8,60,16.0
