indicativo,fecha,Temperatura Maxima,Temperatura Minima,Cantidad dias de lluvia,w_racha,hr,p_mes
8414A,2015-01-01,23.9,-0.1,3,25.8,57,10.0
8414A,2015-02-01,23.5,-2.2,7,21.7,52,6.0
8414A,2015-03-01,30.2,1.6,10,20.0,60,81.4
8414A,2015-04-01,27.7,6.8,7,23.6,61,6.9
8414A,2015-05-01,42.6,11.6,2,19.7,47,18.9
8414A,2015-07-01,37.6,19.9,6,23.3,60,18.4
8414A,2015-08-01,36.3,17.3,5,16.4,61,11.7
8414A,2015-09-01,32.6,13.4,12,18.9,64,45.3
8414A,2015-10-01,31.9,7.9,13,20.0,69,37.7
8414A,2015-11-01,26.4,2.3,3,24.2,67,73.0
8414A,2015-12-01,22.6,1.8,1,11.7,75,0.1
