indicativo,fecha,Temperatura Maxima,Temperatura Minima,Cantidad dias de lluvia,w_racha,hr,p_mes
8414A,2005-01-01,25.5,-4.4,1,20.3,64,0.3
8414A,2005-02-01,25.3,-1.0,9,23.6,63,60.5
8414A,2005-03-01,26.8,-1.0,6,17.5,65,4.5
8414A,2005-04-01,26.8,6.4,5,22.5,59,20.7
8414A,2005-05-01,32.2,11.2,8,13.9,62,22.0
8414A,2005-06-01,37.6,14.3,7,18.1,51,21.7
8414A,2005-07-01,37.6,15.6,7,15.0,56,14.3
8414A,2005-08-01,33.9,13.4,3,13.3,55,4.0
8414A,2005-09-01,37.8,10.5,5,23.3,57,39.7
8414A,2005-10-01,28.1,8.9,10,14.4,65,5.0
8414A,2005-12-01,21.0,-2.0,5,20.0,60,5.1
