indicativo,fecha,Temperatura Maxima,Temperatura Minima,Cantidad dias de lluvia,w_racha,hr,p_mes
8414A,2024-01-01,24.4,0.9,4,22.8,61,11.3
8414A,2024-02-01,25.6,2.9,6,24.2,56,4.8
8414A,2024-03-01,26.5,3.6,10,22.8,60,23.7
8414A,2024-04-01,29.2,7.7,6,20.0,51,8.2
8414A,2024-05-01,32.2,9.7,2,17.5,51,3.5
8414A,2024-06-01,32.5,14.5,8,22.8,58,26.9
8414A,2024-07-01,36.7,18.4,7,12.8,59,11.0
8414A,2024-08-01,36.2,20.7,3,16.9,61,1.1
8414A,2024-09-01,34.5,13.5,13,19.7,61,39.9
8414A,2024-10-01,34.3,11.3,13,22.2,65,62.5
8414A,2024-11-01,25.6,6.8,6,22.8,75,33.6
8414A,2024-12-01,25.4,2.0,4,23.3,62,11.0
