indicativo,fecha,Temperatura Maxima,Temperatura Minima,Cantidad dias de lluvia,w_racha,hr,p_mes
6155A,2010-01-01,20.7,2.0,13,20.6,64,194.3
6155A,2010-02-01,22.6,4.6,18,21.7,70,234.4
6155A,2010-03-01,22.4,4.8,13,22.8,66,89.2
6155A,2010-04-01,25.4,8.0,9,19.7,65,111.0
6155A,2010-05-01,31.6,10.6,7,20.0,49,18.3
6155A,2010-06-01,33.4,15.6,1,19.7,55,3.4
6155A,2010-07-01,38.8,19.8,3,15.0,58,0.2
6155A,2010-08-01,39.8,20.8,3,12.8,63,23.9
6155A,2010-09-01,32.6,15.6,6,15.0,62,14.4
6155A,2010-10-01,27.8,9.4,6,20.0,65,45.4
6155A,2010-11-01,25.0,8.4,11,20.6,64,142.8
6155A,2010-12-01,23.4,3.6,15,19.2,73,329.7
