indicativo,fecha,Temperatura Maxima,Temperatura Minima,Cantidad dias de lluvia,w_racha,hr,p_mes
6155A,2015-01-01,23.6,3.6,6,20.6,66,50.4
6155A,2015-02-01,23.8,1.2,4,20.0,59,30.4
6155A,2015-04-01,29.1,11.1,7,18.6,67,14.8
6155A,2015-06-01,34.9,15.5,0,13.9,47,0.0
6155A,2015-07-01,41.2,21.4,0,12.5,57,0.0
6155A,2015-08-01,37.6,19.9,3,15.0,55,0.2
6155A,2015-09-01,36.0,15.5,5,12.8,58,56.6
6155A,2015-10-01,30.1,11.9,9,12.5,74,47.0
6155A,2015-11-01,25.2,5.5,3,18.1,69,45.0
6155A,2015-12-01,24.1,6.4,2,15.0,74,0.8
